"";"X1";"X2";"X3";"X4";"X5";"X6";"X7";"X8";"X9";"X10";"X11";"X12";"X13"
"34";"GMS";"Sat.1Bayern";"T • 1.01307.10.–12.10.";"13.10.2016";NA;"45 %";"19 %";"10 %";"5 %";"2 %";"6 %";"9 %";"4 %"
"35";"GMS";"Sat.1Bayern";"T • 1.01509.09.–14.09.";"15.09.2016";NA;"45 %";"18 %";"12 %";"5 %";"2 %";"5 %";"9 %";"4 %"
"36";"Forsa";"stern";"T • 1.00804.07.–15.07.";"20.07.2016";NA;"43 %";"16 %";"14 %";"4 %";"3 %";"6 %";"8 %";"6 %"
"37";"Infratestdimap";"ARD";"T • 1.00011.07.–14.07.";"17.07.2016";NA;"45 %";"17 %";"13 %";"4 %";"–";"5 %";"9 %";"7 %"
"38";"GMS";"Sat.1Bayern";"T • 1.01508.07.–13.07.";"14.07.2016";NA;"47 %";"17 %";"11 %";"5 %";"2 %";"6 %";"7 %";"5 %"
"39";"INSA";"Cicero";"T • 1.69817.05.–08.06.";"14.06.2016";NA;"47,5 %";"17,5 %";"11,5 %";"3,5 %";"3,5 %";"4,5 %";"7 %";"5 %"
"40";"Forsa";"stern";"T • 1.01023.05.–03.06.";"08.06.2016";NA;"40 %";"16 %";"14 %";"4 %";"3 %";"6 %";"10 %";"7 %"
"41";"GMS";"Sat.1Bayern";"T • 1.02127.05.–01.06.";"02.06.2016";NA;"48 %";"17 %";"10 %";"5 %";"2 %";"6 %";"8 %";"4 %"
"42";"GMS";"Sat.1Bayern";"T • 1.01815.04.–19.04.";"21.04.2016";NA;"48 %";"16 %";"10 %";"5 %";"2 %";"6 %";"9 %";"4 %"
"43";"GMS";"Sat.1Bayern";"T • 1.01514.03.–16.03.";"17.03.2016";NA;"48 %";"16 %";"11 %";"5 %";"2 %";"5 %";"9 %";"4 %"
"44";"GMS";"Sat.1Bayern";"T • 1.01012.02.–17.02.";"18.02.2016";NA;"46 %";"17 %";"11 %";"4 %";"2 %";"5 %";"9 %";"6 %"
"45";"Infratestdimap";"BayerischerRundfunk";"T • 1.00007.01.–11.01.";"13.01.2016";NA;"47 %";"16 %";"12 %";"3 %";"3 %";"5 %";"8 %";"6 %"
"46";"GMS";"Sat.1Bayern";"T • 1.01928.12.–03.01.";"04.01.2016";NA;"45 %";"19 %";"10 %";"4 %";"3 %";"6 %";"7 %";"6 %"
"47";"GMS";"Sat.1Bayern";"T • 1.01612.11.–18.11.";"19.11.2015";NA;"46 %";"18 %";"11 %";"4 %";"3 %";"5 %";"8 %";"5 %"
"48";"GMS";"Sat.1Bayern";"T • 1.01901.10.–07.10.";"08.10.2015";NA;"46 %";"18 %";"12 %";"6 %";"–";"6 %";"5 %";"7 %"
"49";"Forsa";"stern";"T • 1.00723.09.–02.10.";"07.10.2015";NA;"43 %";"19 %";"11 %";"4 %";"3 %";"5 %";"6 %";"9 %"
"50";"GMS";"Sat.1Bayern";"T • 1.00710.09.–16.09.";"17.09.2015";NA;"49 %";"20 %";"10 %";"5 %";"–";"6 %";"2 %";"8 %"
"51";"GMS";"Sat.1Bayern";"T • 1.01116.07.–22.07.";"23.07.2015";NA;"47 %";"20 %";"10 %";"5 %";"–";"6 %";"2 %";"10 %"
"52";"GMS";"Sat.1Bayern";"T • 1.01218.06.–24.06.";"25.06.2015";NA;"48 %";"19 %";"9 %";"5 %";"2 %";"7 %";"4 %";"6 %"
"53";"INSA";"BILD";"O • 65105.06.–15.06.";"19.06.2015";NA;"46 %";"20 %";"8 %";"4 %";"3 %";"8 %";"4 %";"7 %"
"54";"GMS";"Sat.1Bayern";"T • 1.00807.05.–13.05.";"15.05.2015";NA;"48 %";"18 %";"10 %";"4 %";"–";"7 %";"5 %";"8 %"
"55";"GMS";"Sat.1Bayern";"T • 1.01609.04.–15.04.";"16.04.2015";NA;"48 %";"19 %";"10 %";"4 %";"2 %";"7 %";"4 %";"6 %"
"56";"Forsa";"stern";"T • 1.26619.03.–31.03.";"08.04.2015";NA;"47 %";"19 %";"11 %";"3 %";"2 %";"7 %";"4 %";"7 %"
"57";"Infratestdimap";"BayerischerRundfunk";"T • 1.00408.01.–12.01.";"14.01.2015";NA;"46 %";"19 %";"9 %";"3 %";"3 %";"10 %";"4 %";"6 %"
"58";"pollytix";"SPD-Landesverband";"O • 1.70013.11.–23.11.";"12.01.2015";NA;"47 %";"20 %";"10 %";"2 %";"3 %";"8 %";"6 %";"4 %"
"59";"GMS";"?(Quelle: PNP)";"T • 2.000??.11.–??.11.";"03.12.2014";NA;"49 %";"18 %";"9 %";"2 %";"2 %";"7 %";"5 %";"?"
"60";"Emnid";"Emnid";"T • 2.11401.10.–04.11.";"13.11.2014";NA;"48 %";"18 %";"9 %";"2 %";"2 %";"9 %";"5 %";"7 %"
"61";"Infratestdimap";"BayerischerRundfunk";"T • 1.00210.03.–12.03.";"16.03.2014";NA;"46 %";"18 %";"11 %";"–";"–";"12 %";"–";"13 %"
"62";"Infratestdimap";"BayerischerRundfunk";"T • 1.00409.01.–13.01.";"15.01.2014";NA;"49 %";"19 %";"10 %";"4 %";"2 %";"9 %";"–";"7 %"
"63";"Landtagswahl am 15.09.2013";"Landtagswahl am 15.09.2013";"Landtagswahl am 15.09.2013";"Landtagswahl am 15.09.2013";NA;"47,7 %";"20,6 %";"8,6 %";"3,3 %";"2,1 %";"9,0 %";"–";"BP 2,1 %ödp 2,0 %PIRATEN 2,0 %Sonst. 2,6 %"
